Criminal ID,Age,Gender,Crime Type,Crime Location,Time of Crime,Weapon Used,Prior Offenses,Modus Operandi,Associated Gang,Psychological Profile,Footprint/Fingerprint Match,Escape Method,Conviction Status,Sentence Duration,Education Level,Job Status,Geographical Factor
2531,18-25,Female,Kidnapping,Metro,Night,None,No,Breaking & Entering,Yes,Manipulative,No,Running,Under Trial,N/A,Undergraduate,Student,Rural
2532,51+,Female,Human Trafficking,Rural,Evening,Knife,Yes,Online Fraud,No,Opportunistic,Yes,Fake Identity,Under Trial,N/A,Graduate,Student,Rural
2533,26-35,Male,Murder,City,Evening,None,Yes,Extortion,Yes,Aggressive,No,Vehicle,Acquitted,N/A,High School,Employed,Urban
2534,18-25,Female,Assault,Rural,Morning,Knife,No,Extortion,Yes,Calculated,No,Fake Identity,Under Trial,N/A,Undergraduate,Student,Rural
2535,18-25,Male,Drug Offense,City,Evening,Gun,No,Extortion,No,Manipulative,Yes,Running,Acquitted,N/A,Undergraduate,Student,Suburban
2536,26-35,Female,Murder,City,Night,None,Yes,Breaking & Entering,No,Aggressive,Yes,Vehicle,Acquitted,N/A,Undergraduate,Unemployed,Rural
2537,26-35,Male,Theft,Metro,Morning,Gun,No,Brute Force,No,Manipulative,Yes,Running,Under Trial,N/A,Undergraduate,Self-Employed,Suburban
2538,36-50,Male,Assault,Metro,Night,Knife,Yes,Breaking & Entering,No,Calculated,No,Fake Identity,Convicted,Short-term,Postgraduate,Student,Rural
2539,51+,Female,Murder,Metro,Evening,Digital Tools,Yes,Breaking & Entering,Yes,Calculated,Yes,Running,Acquitted,N/A,Graduate,Employed,Urban
2540,26-35,Other,Assault,Metro,Night,Knife,Yes,Breaking & Entering,Yes,Opportunistic,Yes,Vehicle,Convicted,Short-term,Undergraduate,Self-Employed,Urban
2541,36-50,Female,Assault,Rural,Morning,Digital Tools,Yes,Breaking & Entering,Yes,Manipulative,Yes,Fake Identity,Under Trial,N/A,High School,Employed,Urban
2542,36-50,Male,Human Trafficking,Metro,Morning,Knife,No,Brute Force,No,Opportunistic,No,Vehicle,Acquitted,N/A,Graduate,Employed,Rural
2543,36-50,Other,Murder,City,Night,None,No,Breaking & Entering,No,Manipulative,No,None,Under Trial,N/A,High School,Unemployed,Suburban
2544,36-50,Female,Theft,Metro,Morning,Gun,No,Breaking & Entering,Yes,Opportunistic,Yes,Fake Identity,Convicted,Long-term,Postgraduate,Self-Employed,Rural
2545,51+,Other,Assault,Rural,Morning,Digital Tools,No,Extortion,No,Aggressive,No,Vehicle,Convicted,Long-term,Undergraduate,Student,Suburban
2546,26-35,Other,Drug Offense,Rural,Morning,Digital Tools,Yes,Extortion,Yes,Aggressive,No,None,Convicted,Life,Postgraduate,Student,Suburban
2547,51+,Other,Human Trafficking,Metro,Evening,Gun,Yes,Brute Force,No,Manipulative,Yes,None,Convicted,Short-term,Postgraduate,Self-Employed,Urban
2548,18-25,Other,Kidnapping,City,Morning,Gun,No,Online Fraud,No,Aggressive,Yes,Fake Identity,Convicted,Short-term,Postgraduate,Self-Employed,Suburban
2549,18-25,Male,Kidnapping,Rural,Morning,Knife,Yes,Online Fraud,Yes,Calculated,Yes,Running,Convicted,Short-term,Undergraduate,Unemployed,Urban
2550,51+,Female,Drug Offense,Rural,Night,Gun,Yes,Extortion,No,Manipulative,Yes,Running,Acquitted,N/A,High School,Employed,Urban
2551,36-50,Female,Fraud,Metro,Evening,Gun,Yes,Online Fraud,No,Manipulative,Yes,Vehicle,Acquitted,N/A,Undergraduate,Self-Employed,Suburban
2552,51+,Other,Theft,City,Night,Digital Tools,Yes,Extortion,No,Calculated,Yes,Vehicle,Under Trial,N/A,Graduate,Student,Rural
2553,51+,Male,Murder,Rural,Morning,Gun,No,Extortion,Yes,Aggressive,Yes,Vehicle,Convicted,Life,Graduate,Unemployed,Rural
2554,26-35,Male,Murder,Rural,Night,Knife,No,Social Engineering,Yes,Calculated,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Unemployed,Rural
2555,18-25,Female,Fraud,City,Morning,Gun,No,Breaking & Entering,Yes,Manipulative,No,None,Convicted,Life,Graduate,Self-Employed,Rural
2556,26-35,Female,Cybercrime,Metro,Night,None,No,Online Fraud,No,Aggressive,Yes,Running,Under Trial,N/A,Undergraduate,Student,Urban
2557,51+,Male,Fraud,Metro,Night,Gun,Yes,Breaking & Entering,No,Calculated,No,Fake Identity,Convicted,Death,High School,Student,Urban
2558,26-35,Male,Cybercrime,City,Morning,Gun,Yes,Social Engineering,Yes,Calculated,Yes,Running,Convicted,Short-term,Graduate,Self-Employed,Rural
2559,26-35,Female,Assault,Rural,Night,Gun,No,Online Fraud,No,Opportunistic,No,Vehicle,Convicted,Long-term,Postgraduate,Employed,Suburban
2560,51+,Female,Human Trafficking,City,Evening,Digital Tools,No,Extortion,No,Aggressive,Yes,Vehicle,Under Trial,N/A,Undergraduate,Student,Urban
2561,51+,Female,Human Trafficking,Rural,Evening,Gun,No,Social Engineering,No,Aggressive,Yes,Running,Under Trial,N/A,Graduate,Student,Urban
2562,18-25,Male,Fraud,Rural,Morning,Knife,No,Online Fraud,No,Manipulative,No,Fake Identity,Under Trial,N/A,Graduate,Student,Suburban
2563,26-35,Other,Human Trafficking,Metro,Evening,Knife,No,Social Engineering,Yes,Manipulative,No,Vehicle,Acquitted,N/A,Undergraduate,Unemployed,Urban
2564,18-25,Other,Theft,Rural,Night,None,No,Extortion,Yes,Aggressive,No,Fake Identity,Under Trial,N/A,High School,Employed,Suburban
2565,18-25,Male,Cybercrime,Metro,Evening,Digital Tools,No,Online Fraud,Yes,Aggressive,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Student,Urban
2566,18-25,Female,Murder,City,Night,Gun,Yes,Extortion,Yes,Aggressive,Yes,Vehicle,Under Trial,N/A,Graduate,Unemployed,Suburban
2567,51+,Female,Cybercrime,City,Night,Digital Tools,Yes,Extortion,Yes,Manipulative,No,Fake Identity,Acquitted,N/A,Postgraduate,Employed,Rural
2568,51+,Other,Drug Offense,Rural,Morning,None,No,Brute Force,No,Aggressive,Yes,None,Under Trial,N/A,Undergraduate,Self-Employed,Suburban
2569,51+,Female,Theft,Rural,Night,Gun,Yes,Online Fraud,No,Manipulative,No,Vehicle,Acquitted,N/A,Graduate,Employed,Suburban
2570,18-25,Female,Murder,City,Night,Knife,Yes,Online Fraud,No,Aggressive,No,Fake Identity,Acquitted,N/A,Undergraduate,Unemployed,Urban
2571,26-35,Male,Human Trafficking,Rural,Night,Knife,Yes,Online Fraud,Yes,Calculated,No,Vehicle,Acquitted,N/A,Graduate,Self-Employed,Rural
2572,51+,Male,Fraud,City,Evening,Knife,Yes,Breaking & Entering,No,Manipulative,Yes,None,Acquitted,N/A,Graduate,Student,Urban
2573,51+,Female,Theft,City,Night,Digital Tools,Yes,Breaking & Entering,Yes,Opportunistic,No,None,Under Trial,N/A,Undergraduate,Unemployed,Urban
2574,36-50,Female,Murder,Rural,Night,Gun,Yes,Online Fraud,Yes,Manipulative,Yes,None,Convicted,Life,High School,Unemployed,Urban
2575,36-50,Male,Assault,City,Night,None,No,Social Engineering,Yes,Aggressive,Yes,Fake Identity,Convicted,Life,Postgraduate,Unemployed,Rural
2576,26-35,Other,Human Trafficking,Rural,Evening,None,No,Social Engineering,Yes,Aggressive,Yes,Running,Convicted,Long-term,Postgraduate,Student,Rural
2577,51+,Female,Assault,Metro,Morning,Gun,No,Breaking & Entering,Yes,Manipulative,No,Fake Identity,Acquitted,N/A,Graduate,Student,Rural
2578,18-25,Female,Drug Offense,City,Night,None,Yes,Social Engineering,Yes,Calculated,Yes,Vehicle,Acquitted,N/A,Undergraduate,Self-Employed,Urban
2579,26-35,Female,Fraud,Metro,Night,Knife,No,Extortion,Yes,Calculated,Yes,Running,Under Trial,N/A,Graduate,Unemployed,Urban
2580,26-35,Male,Assault,City,Morning,Gun,No,Brute Force,No,Calculated,No,None,Acquitted,N/A,Graduate,Employed,Suburban
2581,26-35,Other,Human Trafficking,City,Morning,Knife,No,Social Engineering,Yes,Aggressive,No,Running,Under Trial,N/A,Graduate,Employed,Suburban
2582,51+,Female,Theft,Rural,Evening,None,No,Extortion,No,Manipulative,Yes,Running,Under Trial,N/A,High School,Unemployed,Suburban
2583,36-50,Male,Kidnapping,Metro,Evening,Gun,Yes,Breaking & Entering,No,Opportunistic,Yes,Running,Convicted,Death,Graduate,Employed,Suburban
2584,18-25,Female,Human Trafficking,City,Evening,None,Yes,Social Engineering,Yes,Opportunistic,Yes,Vehicle,Convicted,Long-term,Graduate,Student,Rural
2585,36-50,Male,Kidnapping,Metro,Night,None,Yes,Extortion,Yes,Manipulative,Yes,Running,Convicted,Long-term,Graduate,Self-Employed,Rural
2586,18-25,Other,Kidnapping,Rural,Night,Gun,Yes,Extortion,No,Manipulative,No,Fake Identity,Under Trial,N/A,Undergraduate,Employed,Rural
2587,51+,Female,Theft,City,Morning,Gun,Yes,Extortion,Yes,Manipulative,Yes,Running,Acquitted,N/A,Postgraduate,Student,Rural
2588,36-50,Male,Drug Offense,Rural,Evening,Digital Tools,Yes,Breaking & Entering,No,Manipulative,Yes,Fake Identity,Under Trial,N/A,Postgraduate,Student,Suburban
2589,18-25,Female,Human Trafficking,City,Morning,None,No,Extortion,Yes,Calculated,Yes,Running,Convicted,Life,High School,Student,Urban
2590,26-35,Female,Theft,Metro,Evening,Gun,Yes,Breaking & Entering,No,Opportunistic,No,Vehicle,Convicted,Life,Undergraduate,Student,Suburban
2591,26-35,Male,Kidnapping,City,Morning,Digital Tools,No,Online Fraud,No,Opportunistic,No,Vehicle,Convicted,Long-term,Undergraduate,Self-Employed,Suburban
2592,36-50,Male,Fraud,Rural,Morning,Knife,Yes,Brute Force,No,Manipulative,Yes,Vehicle,Under Trial,N/A,Graduate,Unemployed,Rural
2593,26-35,Female,Assault,Rural,Night,None,No,Extortion,Yes,Calculated,Yes,Running,Acquitted,N/A,Graduate,Unemployed,Rural
2594,26-35,Male,Murder,Metro,Evening,None,Yes,Extortion,No,Calculated,No,Running,Convicted,Life,Graduate,Employed,Urban
2595,18-25,Female,Human Trafficking,Metro,Night,Knife,No,Extortion,Yes,Calculated,No,Fake Identity,Under Trial,N/A,Postgraduate,Employed,Rural
2596,26-35,Female,Theft,City,Night,Knife,No,Online Fraud,Yes,Opportunistic,No,Running,Convicted,Death,Undergraduate,Student,Rural
2597,18-25,Other,Kidnapping,Metro,Evening,Knife,Yes,Online Fraud,No,Calculated,Yes,Running,Convicted,Death,Undergraduate,Unemployed,Rural
2598,26-35,Female,Fraud,Metro,Night,Digital Tools,No,Online Fraud,Yes,Opportunistic,No,Vehicle,Acquitted,N/A,Graduate,Employed,Suburban
2599,51+,Male,Murder,City,Morning,Knife,Yes,Breaking & Entering,Yes,Calculated,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Self-Employed,Urban
2600,18-25,Male,Kidnapping,City,Night,Digital Tools,Yes,Social Engineering,No,Manipulative,Yes,Running,Acquitted,N/A,Graduate,Unemployed,Rural
2601,51+,Male,Murder,Metro,Night,None,No,Breaking & Entering,No,Calculated,Yes,Running,Under Trial,N/A,Graduate,Unemployed,Suburban
2602,36-50,Male,Theft,City,Evening,Digital Tools,No,Brute Force,Yes,Opportunistic,No,Running,Under Trial,N/A,High School,Unemployed,Rural
2603,36-50,Female,Kidnapping,City,Evening,Digital Tools,Yes,Brute Force,No,Manipulative,No,Fake Identity,Convicted,Short-term,High School,Unemployed,Urban
2604,36-50,Other,Assault,City,Morning,None,Yes,Extortion,Yes,Aggressive,No,Fake Identity,Acquitted,N/A,High School,Self-Employed,Urban
2605,36-50,Other,Assault,City,Evening,None,Yes,Breaking & Entering,No,Opportunistic,No,Fake Identity,Acquitted,N/A,Undergraduate,Self-Employed,Urban
2606,26-35,Other,Theft,Metro,Morning,Gun,Yes,Brute Force,No,Opportunistic,Yes,Fake Identity,Convicted,Short-term,Postgraduate,Student,Suburban
2607,26-35,Male,Theft,City,Night,None,Yes,Social Engineering,No,Aggressive,No,Vehicle,Convicted,Long-term,High School,Student,Rural
2608,51+,Male,Kidnapping,Rural,Night,None,No,Online Fraud,Yes,Opportunistic,No,Vehicle,Under Trial,N/A,Undergraduate,Self-Employed,Urban
2609,26-35,Other,Fraud,Rural,Night,Knife,Yes,Breaking & Entering,No,Aggressive,Yes,Running,Acquitted,N/A,High School,Self-Employed,Suburban
2610,51+,Female,Assault,Rural,Night,Gun,No,Brute Force,No,Manipulative,Yes,Vehicle,Acquitted,N/A,Undergraduate,Unemployed,Suburban
2611,26-35,Male,Cybercrime,Metro,Morning,None,Yes,Extortion,No,Calculated,No,Running,Acquitted,N/A,High School,Unemployed,Rural
2612,18-25,Other,Theft,City,Evening,Digital Tools,Yes,Extortion,No,Aggressive,Yes,Fake Identity,Under Trial,N/A,Graduate,Employed,Rural
2613,18-25,Female,Cybercrime,Metro,Evening,Knife,Yes,Online Fraud,No,Manipulative,No,None,Under Trial,N/A,Undergraduate,Student,Rural
2614,18-25,Female,Human Trafficking,Rural,Evening,Gun,Yes,Brute Force,No,Manipulative,No,Fake Identity,Acquitted,N/A,Undergraduate,Unemployed,Rural
2615,26-35,Female,Fraud,Rural,Night,Gun,Yes,Breaking & Entering,No,Opportunistic,No,Fake Identity,Under Trial,N/A,Postgraduate,Unemployed,Urban
2616,18-25,Female,Fraud,Metro,Night,Gun,No,Brute Force,No,Manipulative,Yes,Vehicle,Convicted,Long-term,Undergraduate,Unemployed,Urban
2617,36-50,Male,Murder,City,Evening,Knife,No,Online Fraud,No,Manipulative,No,None,Convicted,Short-term,Undergraduate,Self-Employed,Rural
2618,36-50,Female,Drug Offense,City,Evening,Digital Tools,Yes,Online Fraud,Yes,Opportunistic,Yes,Vehicle,Convicted,Life,Postgraduate,Self-Employed,Urban
2619,51+,Female,Kidnapping,Rural,Night,None,No,Online Fraud,Yes,Opportunistic,No,None,Convicted,Death,Graduate,Self-Employed,Rural
2620,51+,Female,Cybercrime,Rural,Morning,None,Yes,Extortion,No,Calculated,No,Running,Under Trial,N/A,Graduate,Student,Suburban
2621,18-25,Male,Human Trafficking,Metro,Evening,Digital Tools,Yes,Breaking & Entering,Yes,Opportunistic,Yes,Vehicle,Acquitted,N/A,Graduate,Employed,Suburban
2622,36-50,Female,Cybercrime,Rural,Night,None,No,Extortion,No,Opportunistic,Yes,Fake Identity,Convicted,Short-term,Postgraduate,Unemployed,Rural
2623,18-25,Other,Murder,Rural,Evening,Knife,Yes,Extortion,No,Opportunistic,No,Running,Under Trial,N/A,Postgraduate,Student,Suburban
2624,51+,Female,Kidnapping,Metro,Morning,None,No,Brute Force,Yes,Manipulative,Yes,Vehicle,Acquitted,N/A,Graduate,Student,Rural
2625,26-35,Male,Drug Offense,Metro,Morning,None,No,Brute Force,No,Manipulative,No,Running,Convicted,Short-term,Graduate,Self-Employed,Suburban
2626,18-25,Female,Assault,Rural,Morning,Gun,No,Online Fraud,Yes,Aggressive,No,Fake Identity,Acquitted,N/A,High School,Unemployed,Rural
2627,51+,Male,Kidnapping,Metro,Evening,None,No,Social Engineering,No,Calculated,No,None,Convicted,Death,Graduate,Unemployed,Suburban
2628,18-25,Male,Kidnapping,Rural,Night,Knife,Yes,Social Engineering,No,Calculated,Yes,Running,Convicted,Short-term,Undergraduate,Employed,Rural
2629,51+,Other,Cybercrime,City,Morning,Gun,No,Social Engineering,No,Aggressive,No,Vehicle,Acquitted,N/A,Graduate,Unemployed,Urban
2630,36-50,Other,Assault,Metro,Night,Gun,Yes,Breaking & Entering,No,Calculated,Yes,Fake Identity,Convicted,Life,Postgraduate,Unemployed,Rural
2631,51+,Female,Murder,City,Morning,None,Yes,Extortion,No,Manipulative,No,Running,Under Trial,N/A,Graduate,Employed,Suburban
2632,36-50,Female,Cybercrime,Rural,Evening,Gun,No,Online Fraud,No,Calculated,No,Vehicle,Acquitted,N/A,High School,Employed,Suburban
2633,18-25,Male,Human Trafficking,Rural,Morning,Knife,Yes,Brute Force,No,Calculated,No,None,Acquitted,N/A,Undergraduate,Student,Rural
2634,18-25,Female,Murder,Metro,Morning,None,Yes,Online Fraud,No,Manipulative,No,Running,Under Trial,N/A,High School,Unemployed,Urban
2635,26-35,Male,Theft,Metro,Night,None,Yes,Breaking & Entering,No,Aggressive,No,None,Acquitted,N/A,High School,Self-Employed,Suburban
2636,36-50,Male,Murder,City,Evening,Knife,Yes,Breaking & Entering,No,Opportunistic,No,Fake Identity,Under Trial,N/A,Graduate,Self-Employed,Suburban
2637,36-50,Male,Assault,City,Evening,Knife,No,Social Engineering,No,Opportunistic,No,Vehicle,Acquitted,N/A,Undergraduate,Self-Employed,Rural
2638,18-25,Female,Murder,Rural,Evening,Gun,Yes,Extortion,Yes,Aggressive,Yes,Vehicle,Convicted,Life,Postgraduate,Student,Suburban
2639,51+,Female,Murder,Metro,Night,None,Yes,Online Fraud,No,Manipulative,No,Running,Acquitted,N/A,Postgraduate,Student,Urban
2640,18-25,Female,Fraud,City,Morning,Knife,Yes,Social Engineering,Yes,Calculated,No,None,Under Trial,N/A,High School,Unemployed,Suburban
2641,26-35,Male,Cybercrime,City,Morning,Knife,Yes,Breaking & Entering,Yes,Calculated,No,None,Acquitted,N/A,Postgraduate,Self-Employed,Suburban
2642,36-50,Female,Assault,City,Night,Gun,No,Online Fraud,Yes,Opportunistic,No,Vehicle,Under Trial,N/A,Undergraduate,Student,Urban
2643,51+,Male,Fraud,Metro,Morning,Knife,Yes,Social Engineering,No,Aggressive,No,Running,Acquitted,N/A,Postgraduate,Self-Employed,Rural
2644,51+,Male,Human Trafficking,City,Evening,Gun,No,Online Fraud,No,Opportunistic,Yes,Vehicle,Acquitted,N/A,High School,Student,Rural
2645,36-50,Female,Murder,Metro,Morning,None,Yes,Brute Force,No,Opportunistic,Yes,None,Under Trial,N/A,Undergraduate,Self-Employed,Rural
2646,51+,Male,Cybercrime,City,Night,Gun,Yes,Online Fraud,Yes,Calculated,Yes,Vehicle,Convicted,Life,High School,Self-Employed,Suburban
2647,36-50,Male,Murder,City,Morning,Digital Tools,No,Social Engineering,Yes,Aggressive,Yes,Vehicle,Convicted,Short-term,Undergraduate,Student,Suburban
2648,36-50,Other,Cybercrime,Rural,Night,Gun,No,Social Engineering,Yes,Calculated,Yes,Fake Identity,Convicted,Death,High School,Student,Urban
2649,51+,Female,Drug Offense,Rural,Evening,Gun,No,Brute Force,Yes,Manipulative,Yes,Fake Identity,Acquitted,N/A,High School,Self-Employed,Suburban
2650,51+,Female,Cybercrime,Metro,Night,Knife,No,Extortion,No,Manipulative,No,Vehicle,Acquitted,N/A,Graduate,Self-Employed,Urban
2651,51+,Male,Fraud,Metro,Morning,Knife,Yes,Extortion,Yes,Aggressive,Yes,None,Acquitted,N/A,Graduate,Unemployed,Urban
2652,51+,Other,Kidnapping,Rural,Night,Gun,Yes,Extortion,No,Manipulative,Yes,None,Under Trial,N/A,Graduate,Employed,Rural
2653,18-25,Male,Cybercrime,Metro,Night,None,Yes,Social Engineering,Yes,Opportunistic,No,Running,Convicted,Death,High School,Employed,Urban
2654,36-50,Male,Human Trafficking,Rural,Evening,None,No,Brute Force,Yes,Aggressive,Yes,Fake Identity,Acquitted,N/A,Graduate,Unemployed,Rural
2655,18-25,Female,Murder,Metro,Morning,None,Yes,Social Engineering,Yes,Manipulative,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Employed,Rural
2656,51+,Female,Theft,Metro,Night,Digital Tools,Yes,Brute Force,Yes,Opportunistic,Yes,Fake Identity,Under Trial,N/A,High School,Student,Suburban
2657,51+,Other,Cybercrime,Rural,Evening,None,No,Online Fraud,Yes,Manipulative,Yes,Fake Identity,Convicted,Death,Postgraduate,Student,Suburban
2658,51+,Other,Drug Offense,Rural,Morning,Gun,Yes,Breaking & Entering,Yes,Manipulative,No,Running,Under Trial,N/A,Graduate,Student,Rural
2659,51+,Male,Human Trafficking,Rural,Evening,None,Yes,Online Fraud,Yes,Calculated,No,Running,Under Trial,N/A,High School,Student,Rural
2660,51+,Female,Assault,Rural,Evening,Digital Tools,Yes,Brute Force,Yes,Calculated,Yes,Vehicle,Acquitted,N/A,Graduate,Student,Rural
2661,51+,Other,Murder,City,Morning,Gun,No,Breaking & Entering,Yes,Opportunistic,Yes,None,Acquitted,N/A,High School,Employed,Suburban
2662,36-50,Other,Fraud,Metro,Morning,Digital Tools,Yes,Online Fraud,Yes,Aggressive,Yes,None,Under Trial,N/A,Undergraduate,Unemployed,Suburban
2663,36-50,Other,Drug Offense,City,Evening,Gun,Yes,Online Fraud,No,Manipulative,No,None,Convicted,Long-term,High School,Student,Urban
2664,18-25,Female,Cybercrime,Rural,Night,None,No,Extortion,Yes,Aggressive,Yes,Vehicle,Acquitted,N/A,Postgraduate,Self-Employed,Suburban
2665,51+,Male,Murder,City,Night,Digital Tools,Yes,Brute Force,No,Calculated,Yes,Running,Convicted,Life,Graduate,Employed,Urban
2666,36-50,Other,Murder,Metro,Evening,Digital Tools,No,Breaking & Entering,Yes,Calculated,No,Vehicle,Convicted,Life,High School,Student,Suburban
2667,18-25,Female,Drug Offense,Rural,Night,Digital Tools,Yes,Online Fraud,No,Manipulative,No,None,Acquitted,N/A,High School,Student,Suburban
2668,18-25,Female,Human Trafficking,Metro,Evening,Gun,Yes,Online Fraud,No,Calculated,Yes,Running,Convicted,Death,Undergraduate,Student,Rural
2669,51+,Other,Human Trafficking,City,Evening,Digital Tools,No,Breaking & Entering,No,Opportunistic,Yes,Vehicle,Acquitted,N/A,Graduate,Employed,Urban
2670,26-35,Other,Cybercrime,Metro,Morning,Digital Tools,Yes,Breaking & Entering,Yes,Manipulative,Yes,Running,Under Trial,N/A,High School,Student,Urban
2671,26-35,Other,Kidnapping,City,Morning,None,Yes,Brute Force,No,Calculated,Yes,Vehicle,Acquitted,N/A,Postgraduate,Unemployed,Suburban
2672,36-50,Female,Fraud,Rural,Evening,Gun,Yes,Online Fraud,Yes,Calculated,No,Fake Identity,Under Trial,N/A,High School,Self-Employed,Suburban
2673,18-25,Male,Cybercrime,Rural,Night,None,Yes,Online Fraud,Yes,Aggressive,No,Fake Identity,Convicted,Short-term,Undergraduate,Unemployed,Suburban
2674,36-50,Female,Kidnapping,Metro,Night,Gun,Yes,Online Fraud,No,Opportunistic,Yes,Vehicle,Convicted,Death,Postgraduate,Employed,Suburban
2675,18-25,Other,Murder,Rural,Morning,Knife,No,Online Fraud,Yes,Opportunistic,No,Vehicle,Acquitted,N/A,Graduate,Student,Urban
2676,18-25,Other,Drug Offense,Metro,Morning,Gun,No,Brute Force,Yes,Opportunistic,No,Vehicle,Under Trial,N/A,Graduate,Self-Employed,Suburban
2677,36-50,Female,Fraud,City,Night,Digital Tools,No,Online Fraud,Yes,Manipulative,No,Vehicle,Under Trial,N/A,Undergraduate,Student,Rural
2678,18-25,Other,Drug Offense,City,Morning,Gun,Yes,Online Fraud,Yes,Aggressive,No,Fake Identity,Acquitted,N/A,Graduate,Employed,Suburban
2679,18-25,Male,Murder,Rural,Night,Digital Tools,Yes,Extortion,No,Aggressive,Yes,None,Acquitted,N/A,Undergraduate,Student,Urban
2680,26-35,Other,Cybercrime,Rural,Morning,Digital Tools,Yes,Brute Force,No,Aggressive,Yes,Vehicle,Convicted,Death,Postgraduate,Unemployed,Urban
2681,18-25,Male,Kidnapping,Rural,Morning,Gun,No,Breaking & Entering,Yes,Opportunistic,Yes,Fake Identity,Under Trial,N/A,Postgraduate,Unemployed,Suburban
2682,18-25,Female,Murder,City,Evening,Knife,Yes,Online Fraud,No,Aggressive,No,None,Under Trial,N/A,Graduate,Unemployed,Rural
2683,18-25,Female,Assault,Rural,Night,Digital Tools,No,Extortion,Yes,Opportunistic,No,Running,Convicted,Death,High School,Employed,Rural
2684,26-35,Male,Human Trafficking,City,Morning,None,No,Brute Force,Yes,Opportunistic,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Student,Suburban
2685,26-35,Other,Cybercrime,City,Evening,None,Yes,Brute Force,No,Manipulative,Yes,Fake Identity,Acquitted,N/A,Postgraduate,Self-Employed,Rural
2686,36-50,Female,Theft,Rural,Evening,None,Yes,Breaking & Entering,No,Manipulative,No,Running,Convicted,Long-term,Undergraduate,Employed,Rural
2687,36-50,Male,Theft,City,Morning,Gun,Yes,Extortion,No,Opportunistic,No,Vehicle,Under Trial,N/A,High School,Unemployed,Rural
2688,36-50,Male,Assault,Metro,Night,Knife,Yes,Brute Force,No,Calculated,Yes,None,Convicted,Life,Graduate,Self-Employed,Urban
2689,26-35,Female,Cybercrime,Rural,Night,Digital Tools,Yes,Extortion,Yes,Manipulative,No,Vehicle,Convicted,Life,High School,Self-Employed,Suburban
2690,26-35,Other,Fraud,Rural,Morning,None,Yes,Breaking & Entering,Yes,Manipulative,Yes,None,Acquitted,N/A,High School,Self-Employed,Rural
2691,36-50,Female,Drug Offense,City,Evening,Knife,No,Extortion,Yes,Calculated,Yes,Running,Under Trial,N/A,Postgraduate,Self-Employed,Rural
2692,26-35,Other,Drug Offense,Metro,Night,Gun,No,Brute Force,No,Aggressive,Yes,Fake Identity,Under Trial,N/A,Postgraduate,Unemployed,Suburban
2693,51+,Female,Assault,Rural,Night,Digital Tools,Yes,Social Engineering,No,Calculated,Yes,Fake Identity,Acquitted,N/A,High School,Employed,Rural
2694,26-35,Male,Fraud,City,Night,None,Yes,Brute Force,No,Opportunistic,Yes,Fake Identity,Under Trial,N/A,Graduate,Employed,Suburban
2695,36-50,Male,Fraud,Rural,Morning,Knife,No,Breaking & Entering,No,Calculated,Yes,Vehicle,Convicted,Long-term,High School,Unemployed,Suburban
2696,18-25,Female,Fraud,City,Morning,Gun,No,Brute Force,Yes,Manipulative,Yes,Vehicle,Acquitted,N/A,Postgraduate,Employed,Rural
2697,18-25,Other,Human Trafficking,City,Morning,None,No,Online Fraud,Yes,Aggressive,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Employed,Urban
2698,36-50,Male,Assault,City,Night,Gun,Yes,Social Engineering,No,Aggressive,Yes,Fake Identity,Under Trial,N/A,Postgraduate,Student,Rural
2699,51+,Male,Kidnapping,Rural,Morning,None,No,Online Fraud,No,Manipulative,No,Fake Identity,Convicted,Long-term,Postgraduate,Student,Rural
2700,51+,Male,Fraud,Metro,Night,Knife,Yes,Brute Force,Yes,Manipulative,No,Fake Identity,Acquitted,N/A,Undergraduate,Self-Employed,Suburban
2701,18-25,Male,Human Trafficking,Metro,Evening,Gun,No,Online Fraud,No,Aggressive,No,Fake Identity,Acquitted,N/A,Undergraduate,Employed,Rural
2702,26-35,Male,Theft,Rural,Morning,Gun,Yes,Breaking & Entering,Yes,Aggressive,No,Fake Identity,Acquitted,N/A,Postgraduate,Unemployed,Urban
2703,36-50,Other,Murder,Metro,Night,Knife,No,Online Fraud,No,Aggressive,No,None,Under Trial,N/A,Postgraduate,Unemployed,Suburban
2704,36-50,Other,Kidnapping,Metro,Night,Gun,Yes,Extortion,Yes,Opportunistic,No,Vehicle,Acquitted,N/A,Graduate,Student,Rural
2705,36-50,Other,Drug Offense,Rural,Morning,None,Yes,Online Fraud,No,Opportunistic,No,Fake Identity,Under Trial,N/A,Postgraduate,Unemployed,Suburban
2706,51+,Other,Cybercrime,Rural,Morning,None,Yes,Breaking & Entering,Yes,Aggressive,Yes,Vehicle,Under Trial,N/A,Undergraduate,Student,Suburban
2707,26-35,Other,Human Trafficking,Metro,Night,Knife,Yes,Breaking & Entering,No,Manipulative,Yes,Running,Acquitted,N/A,Postgraduate,Unemployed,Suburban
2708,26-35,Female,Assault,Rural,Evening,None,Yes,Online Fraud,Yes,Manipulative,Yes,Fake Identity,Convicted,Short-term,High School,Employed,Suburban
